X,Y,portid,portname,country,ISO3,continent,fullname,lat,lon,vessel_count_total,vessel_count_container,vessel_count_dry_bulk,vessel_count_general_cargo,vessel_count_RoRo,vessel_count_tanker,industry_top1,industry_top2,industry_top3,share_country_maritime_import,share_country_maritime_export,LOCODE,pageid,countrynoaccents,ObjectId
-656160.552892891,5398256.08755437,port83,Aviles,Spain,ESP,Europe,"Aviles, Spain",43.5642594,-5.894390535,528,21,66,384,0,57,Mineral Products,Chemical & Allied Industries,Metals,0.78,0.89,ES AVS,b308be60b5294e57bbceaafe90078390,Spain,365
18366445.7141807,-2431704.54710467,port806,Nepoui,New Caledonia,NCL,Asia & Pacific,"Nepoui, New Caledonia",-21.33362493,164.988589,67,0,59,0,0,8,Mineral Products,Metals,Machinery & Electrical Equipment,0.72,13.04,NC NEP,29e08b5c48b14879899c1f5558cce0ac,New Caledonia,366
60886.1382711627,6692527.24909317,port234,Chatham,United Kingdom,GBR,Europe,"Chatham, United Kingdom",51.4009573,0.546949486,168,6,29,126,0,5,Mineral Products,Metals,Vegetable Products,0.23,0.08,,f799a817072849a1b264c232c7d78af9,United Kingdom,367
1771498.21352507,4645096.94002668,port395,Gioia Tauro,Italy,ITA,Europe,"Gioia Tauro, Italy",38.46339878,15.91363921,1672,1236,3,131,76,225,Mineral Products,Wood & Wood Products,Vegetable Products,6.32,13.56,IT GIT,63e32ca7c677424384e9a7d4d9e4423f,Italy,368
1164268.10106556,7447988.6161071,port842,Odense,Denmark,DNK,Europe,"Odense, Denmark",55.44129887,10.4587983,558,19,56,343,1,137,Mineral Products,Chemical & Allied Industries,Stone & Glass,4.67,6.27,DK ODE,06b4cf5cc8c04299b999f463536ea356,Denmark,369
238946.162549585,5062321.9431724,port118,Barcelona,Spain,ESP,Europe,"Barcelona, Spain",41.33797839,2.146489899,4634,2246,121,856,351,1059,Mineral Products,Vegetable Products,Chemical & Allied Industries,9.55,11.4,ES BCN,01bfc947f9064e92aa4438c7a647faf0,Spain,370
18526631.5893894,-2541905.13285281,port832,Noumea,New Caledonia,NCL,Asia & Pacific,"Noumea, New Caledonia",-22.25280878,166.4275632,574,221,235,47,22,48,Mineral Products,Wood & Wood Products,Metals,60.47,11.68,NC NOU,59755013b8c54d81b68ee534d285168e,New Caledonia,371
18276580.9179036,-2331471.87133109,port870,Paagoumene,New Caledonia,NCL,Asia & Pacific,"Paagoumene, New Caledonia",-20.49254527,164.1813198,58,0,58,0,0,0,Mineral Products,Metals,Machinery & Electrical Equipment,0.1,22.6,NC PAA,81c5dbd9bcbb4c25b2a0c6f8892ea68a,New Caledonia,372
147420.936436366,6642628.05377604,port301,Dover,United Kingdom,GBR,Europe,"Dover, United Kingdom",51.12045226,1.324304804,89,3,4,49,0,32,Vegetable Products,Prepared Foodstuffs & Beverages,Mineral Products,0.08,0.09,,12e515b510ce407a93850ecfcf3e3a46,United Kingdom,373
1096021.7754338,5480865.46958971,port622,La Spezia,Italy,ITA,Europe,"La Spezia, Italy",44.09958063,9.845731126,902,706,8,81,0,105,Mineral Products,Prepared Foodstuffs & Beverages,Metals,1.53,6.27,IT SPE,ae6cb458f303400b914f36f276257360,Italy,374
-697278.423258643,4372467.3217625,port201,Cadiz,Spain,ESP,Europe,"Cadiz, Spain",36.52041019,-6.263758649,757,380,66,172,1,137,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,0.92,1.26,ES CAD,e357d1f421a64933b7f643b8d6e5eee4,Spain,375
1119097.42467016,7650199.89199188,port1085,Randers,Denmark,DNK,Europe,"Randers, Denmark",56.45831688,10.05302321,481,39,19,420,0,1,Mineral Products,Animal & Animal Products,Prepared Foodstuffs & Beverages,3.57,0.73,DK RAN,3e65c42fab384d2d8c5ab96177c35393,Denmark,376
18332426.6781694,-2393194.47463519,port1372,Voh,New Caledonia,NCL,Asia & Pacific,"Voh, New Caledonia",-21.01103527,164.6829908,47,12,19,0,0,15,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,13.91,1.75,,b8602df45c3d444fbf6a1503ee2dbf01,New Caledonia,377
-105241.263698037,4519629.10811193,port219,Cartagena,Spain,ESP,Europe,"Cartagena, Spain",37.57548974,-0.945398357,1686,158,221,487,9,809,Mineral Products,Chemical & Allied Industries,Stone & Glass,9.15,4.39,ES CAR,fe9de9c695c74ada865775bda2bd1eae,Spain,378
-562625.196002737,6472815.58670022,port337,Falmouth Harbour,United Kingdom,GBR,Europe,"Falmouth Harbour, United Kingdom",50.15300321,-5.054148128,109,2,0,22,0,83,Wood & Wood Products,Mineral Products,Prepared Foodstuffs & Beverages,0.05,0.09,,5b071d8ac76c49f389045fd05b51482f,United Kingdom,379
1148335.15608174,5399351.0041451,port655,Livorno,Italy,ITA,Europe,"Livorno, Italy",43.57138602,10.31567022,3032,865,47,1199,344,575,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,5.19,6.07,IT LIV,8ada9c06633a4d1a96b6e501705dab74,Italy,380
1179348.25526028,7908272.77860328,port1204,Skagen,Denmark,DNK,Europe,"Skagen, Denmark",57.71782148,10.59426563,290,44,12,44,0,189,Mineral Products,Wood & Wood Products,Prepared Foodstuffs & Beverages,1.14,1.91,,fafee8f72f07449ebac0ca3381aa07ec,Denmark,381
-7022377.78151916,2047173.68120584,port95,Marigot,Saint Martin,MAF,North America,"Marigot, Saint Martin",18.08221302,-63.08309292,151,23,0,72,1,54,Mineral Products,Chemical & Allied Industries,Stone & Glass,100,100,,ba1ee759ec924c15bd8f74eef2587e2d,Saint Martin,382
-591776.055910087,4286250.89699769,port267,Ceuta,Spain,ESP,Europe,"Ceuta, Spain",35.89549311,-5.316014758,1115,85,28,502,0,499,Mineral Products,Chemical & Allied Industries,Vegetable Products,0.39,0.53,ES CEU,306f3e4d368742be9fda949af57370e1,Spain,383
-150865.173392695,6593007.13502287,port342,Fawley,United Kingdom,GBR,Europe,"Fawley, United Kingdom",50.83981228,-1.355244911,2505,592,6,235,627,1044,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",6.51,7.81,,2d9150eaa07e468b98f4ad9253d1cbd7,United Kingdom,384
1117961.07419495,5470536.45307745,port706,Marina Di Carrara,Italy,ITA,Europe,"Marina Di Carrara, Italy",44.03290973,10.0428152,513,97,33,377,0,5,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",0.31,1.38,,006e2913771341f6b4e1ef9922d2844a,Italy,385
915298.570485641,7696992.38507229,port1296,Thyboron,Denmark,DNK,Europe,"Thyboron, Denmark",56.689866,8.222266954,294,4,11,229,0,49,Mineral Products,Prepared Foodstuffs & Beverages,Animal & Animal Products,0.47,2.18,,a87bfd47155540e5a096bc66218d9d31,Denmark,386
1618822.75600525,5667219.4638871,port99,Bakar,Croatia,HRV,Europe,"Bakar, Croatia",45.28954046,14.54213224,161,0,0,2,0,158,Mineral Products,Wood & Wood Products,Prepared Foodstuffs & Beverages,6.43,17.93,HR BAK,cb64bb17019f46c1a7f517224f967bc3,Croatia,387
-13786668.7441914,5936523.27308931,port2,Aberdeen,United States,USA,North America,"Aberdeen, United States",46.96598223,-123.8477525,80,0,58,2,7,11,Vegetable Products,Prepared Foodstuffs & Beverages,Animal & Animal Products,0.03,0.34,US AEK,78dd6ccf351741ecb8c66a4d705a621e,United States,388
143952.618068552,6791832.36027259,port343,Felixstowe,United Kingdom,GBR,Europe,"Felixstowe, United Kingdom",51.95411087,1.29314837,1456,909,5,407,0,134,Mineral Products,Metals,Prepared Foodstuffs & Beverages,7.53,4.3,,326e87195c234c0eabac3fff15f3f270,United Kingdom,389
1699062.0709476,4608622.97980339,port739,Milazzo,Italy,ITA,Europe,"Milazzo, Italy",38.2063901,15.26293427,592,0,3,24,0,564,Mineral Products,Metals,Chemical & Allied Industries,4.3,4.75,IT MLZ,678fe54537d349dd9a3af10d5dbdcfcd,Italy,390
1617949.35775202,5656190.62642772,port849,Omisalj,Croatia,HRV,Europe,"Omisalj, Croatia",45.21979684,14.53428637,71,0,0,0,0,71,Mineral Products,Metals,Chemical & Allied Industries,66,8.4,HR OMI,92aecbb2fa3348678ea774624bf80713,Croatia,391
-16683933.9427358,8679472.92405721,port48,Anchorage,United States,USA,North America,"Anchorage, United States",61.23279292,-149.8743286,243,150,4,0,49,37,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,0.22,0,US ANC,744baae3664349a6b770477935387143,United States,392
994.344430948316,4860020.38975479,port317,Castellon,Spain,ESP,Europe,"Castellon, Spain",39.95923639,0.008932348,1033,273,150,319,0,290,Mineral Products,Prepared Foodstuffs & Beverages,Metals,3.42,2.3,ES GCS,4836cfa522da4d1f8b9d4b528ccb4c98,Spain,393
1508532.20351052,5747179.33914605,port758,Monfalcone,Italy,ITA,Europe,"Monfalcone, Italy",45.79262537,13.55137535,362,23,94,201,43,0,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",1.54,0.68,IT MNF,508cb169619e45eca193e59227bc381d,Italy,394
1940311.3069688,5318307.52178611,port912,Ploce,Croatia,HRV,Europe,"Ploce, Croatia",43.04161041,17.43011303,198,46,28,71,0,51,Mineral Products,Prepared Foodstuffs & Beverages,Wood & Wood Products,12.89,16.4,HR PLE,036f36611736484ba3d34006c4dc846d,Croatia,395
-538106.578108366,7581109.92137596,port346,Finnart Oil Terminal,United Kingdom,GBR,Europe,"Finnart Oil Terminal, United Kingdom",56.1138324,-4.833893636,86,0,0,0,0,85,Mineral Products,Metals,Prepared Foodstuffs & Beverages,1.36,0.69,,1bdff6c8a83a40819f7acd4d8925ca22,United Kingdom,396
-8522283.28443024,4758948.61404946,port103,Baltimore,United States,USA,North America,"Baltimore, United States",39.25976037,-76.5569733,1808,482,436,231,558,100,Mineral Products,Wood & Wood Products,Metals,2.51,2.46,US BAL,3ee548cdbcfb4663bd14cda1b5d7f92d,United States,397
-916814.667366186,5384606.47885775,port344,Ferrol,Spain,ESP,Europe,"Ferrol, Spain",43.47534572,-8.235886284,397,39,20,231,0,106,Mineral Products,Chemical & Allied Industries,Stone & Glass,0.77,0.65,ES FRO,3396e836821749f7810c6e733ffb45f6,Spain,398
1926391.00502019,5006095.09784324,port761,Monopoli,Italy,ITA,Europe,"Monopoli, Italy",40.95763673,17.30506483,69,1,3,30,0,34,Mineral Products,Chemical & Allied Industries,Vegetable Products,0.12,0.05,IT MNP,54f55aaab0774d73a96971129ee844e0,Italy,399
1606499.60599801,5673309.4566355,port1101,Rijeka,Croatia,HRV,Europe,"Rijeka, Croatia",45.32801535,14.4314315,165,5,17,142,0,0,Wood & Wood Products,Mineral Products,Prepared Foodstuffs & Beverages,2.14,17.83,,86de52eea65b444c963cf8c78eff9f86,Croatia,400
-322054.769093195,7037092.86303087,port376,Garston,United Kingdom,GBR,Europe,"Garston, United Kingdom",53.29145841,-2.893067214,996,30,19,186,0,760,Mineral Products,Chemical & Allied Industries,Stone & Glass,0.71,2.78,,8bf2e6292066402bb1b0b1d21bb6dffa,United Kingdom,401
-486194.33223613,7534231.23469998,port399,Glasgow,United Kingdom,GBR,Europe,"Glasgow, United Kingdom",55.87832297,-4.367557997,162,9,27,125,0,0,Mineral Products,Prepared Foodstuffs & Beverages,Vegetable Products,0.19,0.25,GB GLW,17766534224d481f9c014286a3048ff1,United Kingdom,402
-17600059.9672491,2428943.49392631,port117,Barbor's Point,United States,USA,North America,"Barbor's Point, United States",21.3105197,-158.1040287,148,0,28,2,0,117,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",0.96,0.04,,a71e41a9356246b5983642c14f0acf6b,United States,403
-633941.46327831,5397653.03398181,port394,Gijon,Spain,ESP,Europe,"Gijon, Spain",43.56033387,-5.694793057,1092,222,335,448,0,87,Mineral Products,Vegetable Products,Chemical & Allied Industries,5.69,2.77,ES GIJ,31e5c5478a694befa060c4f83ad52bbc,Spain,404
1589520.82886972,4988659.40955905,port795,Napoli,Italy,ITA,Europe,"Napoli, Italy",40.83924659,14.27890855,1562,536,49,323,0,653,Mineral Products,Vegetable Products,Chemical & Allied Industries,2.88,4.31,IT NAP,2600cf8e82014856a6e6d7c9ca3d6917,Italy,405
1831981.68070025,5393235.04869321,port1218,Split,Croatia,HRV,Europe,"Split, Croatia",43.53156754,16.45697144,481,32,93,256,0,99,Mineral Products,Prepared Foodstuffs & Beverages,Chemical & Allied Industries,9.63,35.98,HR SPU,e1dd76bf94014debb7e01af78c98f6cf,Croatia,406
-98507.2444656594,7113600.63455545,port404,Goole,United Kingdom,GBR,Europe,"Goole, United Kingdom",53.70030449,-0.884905633,442,31,12,376,0,22,Wood & Wood Products,Mineral Products,Vegetable Products,0.35,0.07,GB GOO,57bc4757995a4d679df38913cef32d6f,United Kingdom,407
-10153041.3900722,3559852.74678096,port126,Baton Rouge,United States,USA,North America,"Baton Rouge, United States",30.43704677,-91.20632261,346,0,107,8,0,230,Mineral Products,Vegetable Products,Chemical & Allied Industries,0.44,1.26,US BTR,25d04c055cf448e4943c67f8f3694487,United States,408
1060728.04275388,5001597.68083754,port848,Olbia,Italy,ITA,Europe,"Olbia, Italy",40.92711908,9.528682131,146,37,1,108,0,0,Mineral Products,Metals,Prepared Foodstuffs & Beverages,0.03,0.22,IT OLB,1059ec5b53bd46e2849cffb854ccd9a9,Italy,409
-769736.192986782,4466060.76424533,port483,Huelva,Spain,ESP,Europe,"Huelva, Spain",37.19312891,-6.914657869,1716,139,174,262,0,1141,Mineral Products,Chemical & Allied Industries,Metals,3.47,4.9,ES HUV,3911ea1465624dffa8e4929839a451ff,Spain,410
5536199.24420467,4907387.71046962,port100,Baku Port,Azerbaijan,AZE,Europe,"Baku Port, Azerbaijan",40.28461052,49.73252397,1661,3,27,797,0,833,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",100,100,,00da21f170814bef8d0a656f578b0928,Azerbaijan,411
